127.0.0.1 - - [06/Feb/2023:01:09:13 -0300] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:14 -0300] "GET /ExamenLogin/login.jsp HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:14 -0300] "GET /ExamenLogin/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:14 -0300] "GET /ExamenLogin/css/style.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:14 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:14 -0300] "GET /ExamenLogin/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:14 -0300] "GET /ExamenLogin/images/veterinaria.jpg HTTP/1.1" 200 61870
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:15 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-300.eot? HTTP/1.1" 200 8696
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:15 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-300italic.eot? HTTP/1.1" 200 10018
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:15 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-italic.eot? HTTP/1.1" 200 10007
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:15 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-regular.eot? HTTP/1.1" 200 8692
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:15 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-500.eot? HTTP/1.1" 200 8716
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:15 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-500italic.eot? HTTP/1.1" 200 10148
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:15 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-600.eot? HTTP/1.1" 200 8638
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:15 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-700.eot? HTTP/1.1" 200 8616
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:15 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-700italic.eot? HTTP/1.1" 200 10015
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:15 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-800.eot? HTTP/1.1" 200 8626
